DATE,Div_Yield
"Dec 31, 2022",0.0171
"Nov 30, 2022",0.0169
"Oct 31, 2022",0.0177
"Sep 30, 2022",0.017
"Aug 31, 2022",0.0156
"Jul 31, 2022",0.0165
"Jun 30, 2022",0.0164
"May 31, 2022",0.0157
"Apr 30, 2022",0.0143
"Mar 31, 2022",0.0141
"Feb 28, 2022",0.0139
"Jan 31, 2022",0.0133
"Dec 31, 2021",0.0129
"Nov 30, 2021",0.0129
"Oct 31, 2021",0.0134
"Sep 30, 2021",0.0133
"Aug 31, 2021",0.0132
"Jul 31, 2021",0.0134
"Jun 30, 2021",0.0137
"May 31, 2021",0.0139
"Apr 30, 2021",0.0139
"Mar 31, 2021",0.0147
"Feb 28, 2021",0.0149
"Jan 31, 2021",0.0153
"Dec 31, 2020",0.0158
"Nov 30, 2020",0.0165
"Oct 31, 2020",0.0172
"Sep 30, 2020",0.0175
"Aug 31, 2020",0.0174
"Jul 31, 2020",0.0185
"Jun 30, 2020",0.0192
"May 31, 2020",0.0204
"Apr 30, 2020",0.0216
"Mar 31, 2020",0.0225
"Feb 29, 2020",0.018
"Jan 31, 2020",0.0179
"Dec 31, 2019",0.0183
"Nov 30, 2019",0.0186
"Oct 31, 2019",0.0193
"Sep 30, 2019",0.0192
"Aug 31, 2019",0.0196
"Jul 31, 2019",0.0188
"Jun 30, 2019",0.0194
"May 31, 2019",0.0195
"Apr 30, 2019",0.019
"Mar 31, 2019",0.0196
"Feb 28, 2019",0.0198
"Jan 31, 2019",0.0208
"Dec 31, 2018",0.0209
"Nov 30, 2018",0.0196
"Oct 31, 2018",0.019
"Sep 30, 2018",0.018
"Aug 31, 2018",0.0182
"Jul 31, 2018",0.0184
"Jun 30, 2018",0.0185
"May 31, 2018",0.0188
"Apr 30, 2018",0.019
"Mar 31, 2018",0.0185
"Feb 28, 2018",0.0184
"Jan 31, 2018",0.0177
"Dec 31, 2017",0.0184
"Nov 30, 2017",0.0188
"Oct 31, 2017",0.0189
"Sep 30, 2017",0.0193
"Aug 31, 2017",0.0195
"Jul 31, 2017",0.0194
"Jun 30, 2017",0.0194
"May 31, 2017",0.0196
"Apr 30, 2017",0.0198
"Mar 31, 2017",0.0196
"Feb 28, 2017",0.0198
